,nom_ecole,geometry,note_vetuste,note_vetuste_count,note_encadrement,note_encadrement_count,note_climat,note_climat_count,note_cantine,note_cantine_count,note_abord_securise,note_abord_securise_count,ecole
167,Ecole maternelle Sauzelong,POINT (1.462216059842433 43.579131477937615),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Sauzelong
168,Ecole maternelle Soupetard,POINT (1.477442633131743 43.60734743702237),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Soupetard
169,Ecole maternelle Bourliaguet Léonce,POINT (1.395521463840501 43.57745797477695),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Bourliaguet Léonce
170,Ecole maternelle Canto Laouzetto,POINT (1.387938656208676 43.559990914317055),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Canto Laouzetto
171,Ecole maternelle Dortis,POINT (1.435767344329389 43.66655431250041),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Dortis
172,Ecole maternelle Fénelon,POINT (1.453231491522516 43.649601626805776),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Fénelon
173,Ecole maternelle France Anatole,POINT (1.463038884384642 43.58596699570512),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle France Anatole
174,Ecole maternelle Hugo Victor,POINT (1.403192957565663 43.56527430490295),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Hugo Victor
175,Ecole maternelle Lapujade,POINT (1.460725543534509 43.628712999877244),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Lapujade
176,Ecole maternelle Monnet Jean,POINT (1.431687897391311 43.64667030829199),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Monnet Jean
177,Ecole maternelle Musset Alfred De,POINT (1.430147897540749 43.62319925586947),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Musset Alfred De
178,Ecole maternelle Negreneys,POINT (1.438482551197953 43.62126593274003),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Negreneys
179,Ecole maternelle Niboul,POINT (1.450201873819664 43.64001046118509),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Niboul
180,Ecole maternelle Patte d'Oie,POINT (1.426568183166643 43.59413146331182),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Patte d'Oie
181,Ecole maternelle Polygone,POINT (1.416850200237768 43.59754791621765),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Polygone
182,Ecole maternelle Renan Ernest,POINT (1.443218349176922 43.63668221695157),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Renan Ernest
183,Ecole maternelle Terrasse (La),POINT (1.485618281866707 43.58350917254808),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Terrasse (La)
184,Ecole maternelle Tillion Germaine,POINT (1.391410880179195 43.58425696608947),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Tillion Germaine
185,Ecole maternelle Vergers (Les),POINT (1.398487333943913 43.581286932992626),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Vergers (Les)
186,Ecole maternelle Duportal Armand,POINT (1.431855361062429 43.5989555080945),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Duportal Armand
187,Ecole maternelle Falcucci Clément,POINT (1.408441620784889 43.57984912456584),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Falcucci Clément
188,Ecole maternelle Falguière,POINT (1.43032637248539 43.607488319559714),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Falguière
189,Ecole maternelle Ferry Jules,POINT (1.432359835849303 43.633143761164334),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Ferry Jules
190,Ecole maternelle Galia Jean,POINT (1.403196600486274 43.568416830343565),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Galia Jean
191,Ecole maternelle Jaurès Jean,POINT (1.452073186918476 43.5885078410882),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Jaurès Jean
192,Ecole maternelle Lardenne,POINT (1.378220591359221 43.589213224891445),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Lardenne
193,Ecole maternelle Maourine (La),POINT (1.44896875562496 43.62977243011644),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Maourine (La)
194,Ecole maternelle Marengo-Périole,POINT (1.460632848107545 43.616780716612475),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Marengo-Périole
195,Ecole maternelle Michoun A,POINT (1.466719663087195 43.62646397954316),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Michoun A
196,Ecole maternelle Montaudran,POINT (1.483963876063022 43.57436719680533),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Montaudran
197,Ecole maternelle Nougaro,POINT (1.436063679676348 43.6193025150265),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Nougaro
198,Ecole maternelle Pagnol Marcel,POINT (1.401348559602064 43.59609450003869),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Pagnol Marcel
199,Ecole maternelle Reille,POINT (1.459278628323921 43.6100233848047),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Reille
200,Ecole maternelle Sarrat,POINT (1.45489286203595 43.59950666877139),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Sarrat
201,Ecole maternelle Zay Jean,POINT (1.447508568593012 43.641203549988205),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Zay Jean
202,Ecole maternelle Borderouge Nord,POINT (1.45493620215744 43.64116689374813),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Borderouge Nord
203,Ecole maternelle Buffon,POINT (1.412436096351319 43.564513693089744),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Buffon
204,Ecole maternelle Chaubet Jean,POINT (1.467788535542773 43.59981363994655),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Chaubet Jean
205,Ecole maternelle Claudel Camille,POINT (1.398156312064649 43.56514178028912),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Claudel Camille
206,Ecole maternelle Cuvier,POINT (1.463096439377579 43.63698115775935),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Cuvier
207,Ecole maternelle Dieuzaide Jean,POINT (1.419470782847779 43.64492871933588),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Dieuzaide Jean
208,Ecole maternelle Dolto Françoise,POINT (1.479334554589729 43.58641133229934),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Dolto Françoise
